district,report_year,paddy_area_ha,paddy_production_tonnes,paddy_yield_kg_per_ha,source_authority,source_report,source_table_area,source_table_production,source_table_yield,provenance
Chennai,2024-25,98,320,3267,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Kancheepuram,2024-25,55117,206906,3754,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Chengalpattu,2024-25,59151,228635,3865,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Tiruvallur,2024-25,104492,372227,3562,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Cuddalore,2024-25,146517,404324,2760,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Villupuram,2024-25,101445,318076,3135,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Kallakurichi,2024-25,55972,214635,3835,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Vellore,2024-25,10171,33226,3267,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Ranipet,2024-25,52464,191485,3650,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Tirupathur,2024-25,8242,32545,3949,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Tiruvannamalai,2024-25,185095,689741,3726,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Salem,2024-25,23889,99171,4151,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Namakkal,2024-25,10392,40528,3900,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Dharmapuri,2024-25,27636,112042,4054,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Krishnagiri,2024-25,30808,112143,3640,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Coimbatore,2024-25,1042,3615,3469,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Tiruppur,2024-25,10253,44712,4361,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
Erode,2024-25,29736,119485,4018,"Department of Economics and Statistics, Government of Tamil Nadu","Season and Crop Report Tamil Nadu 2024-2025, Fasli 1434",Table IV-A,Table V-B,Table V-A,REAL_OBSERVED_AGGREGATED
