dpc_id,source_serial_no,region,taluk,village,opening_date,closing_date,status,latitude,longitude,source_snapshot,source_authority
TNCSC-KMS2025-26-0001,1,Ariyalur,Andimadam,Aiyyur,2025-09-09,,Open,11.314517,79.318039,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0002,2,Ariyalur,Andimadam,Kaduvetti,2025-09-09,2026-04-16,Closed,11.310080,79.485031,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0003,3,Ariyalur,Andimadam,Kattathur,2026-07-11,,Open,11.303731,79.347368,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0004,4,Ariyalur,Andimadam,Nagambandal,2026-02-02,2026-04-07,Closed,11.410526,79.367801,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0005,5,Ariyalur,Andimadam,Olaiyur,2025-09-06,2026-04-09,Closed,11.409369,79.316831,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0006,6,Ariyalur,Andimadam,Periyathukuruchi,2026-02-02,2026-03-24,Closed,11.412852,79.361867,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0007,7,Ariyalur,Andimadam,Sriraman,2026-01-29,,Open,11.397276,79.387820,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0008,8,Ariyalur,Andimadam,Vilanthai,2025-09-09,2026-04-16,Closed,11.379663,79.197428,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0009,9,Ariyalur,Andimadam,Vizhududaiyan,2026-01-31,2026-04-02,Closed,11.411040,79.336038,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0010,10,Ariyalur,Ariyalur,Alagiyamanavalam,2025-09-26,2026-06-06,Closed,10.955249,79.201630,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0011,11,Ariyalur,Ariyalur,Elakurichi,2025-09-18,2026-06-19,Closed,10.950667,79.168251,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0012,12,Ariyalur,Ariyalur,Elanthakudam,2025-09-18,2026-06-24,Closed,10.927134,79.026603,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0013,13,Ariyalur,Ariyalur,Ka Mathur,2025-09-24,2026-05-23,Closed,10.931498,79.060477,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0014,14,Ariyalur,Ariyalur,Kallur,2026-03-02,2026-06-16,Closed,10.975207,79.095941,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0015,15,Ariyalur,Ariyalur,Kamarasavalli,2025-10-03,2026-06-06,Closed,10.982057,79.197977,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0016,16,Ariyalur,Ariyalur,Kandirathirtham,2025-09-18,2026-06-10,Closed,10.908072,79.044382,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0017,17,Ariyalur,Ariyalur,Karaiyavetti,2026-03-23,,Open,10.963010,79.056536,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0018,18,Ariyalur,Ariyalur,Keelakavattankuruchi,2026-03-05,2026-06-30,Closed,10.954694,79.066914,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0019,19,Ariyalur,Ariyalur,Keelakolathur,2026-03-07,,Open,10.978552,79.116241,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0020,20,Ariyalur,Ariyalur,Koman,2026-02-28,2026-05-26,Closed,10.991524,79.227530,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
TNCSC-KMS2025-26-0021,21,Ariyalur,Ariyalur,Kovil Esanai,2026-03-14,2026-06-28,Closed,10.950386,79.025785,KMS 2025-26 as on 12-07-2026,Tamil Nadu Civil Supplies Corporation
